"","participant","code","total_duration","total","proportion","difference"
"1","BT0172","NP","5.03000000000065","58.6461374569221",0.0857686493623793,0
"2","BT0172","NS1","12.699999999998","58.6461374569221",0.216553051073937,0
"3","BT0172","NS2","10.7761374569254","58.6461374569221",0.183748460243284,0
"4","BT0172","ON","25.219999999998","58.6461374569221",0.430036846305915,0
"5","BT0172","OSN","4.04000000000087","58.6461374569221",0.0688877422314199,0
"6","BT0172","TC","0.8799999999992","58.6461374569221",0.0150052507830647,0
"7","BT0172","NP","4.20000000000073","104.976137456923",0.0400090925590037,0.0457595568033756
"8","BT0172","NS1","45.3199999999958","104.976137456923",0.431717160660373,0.215164109586436
"9","BT0172","NS2","13.1161374569265","104.976137456923",0.124943989888261,0.058804470355023
"10","BT0172","ON","36.2899999999988","104.976137456923",0.345697611658559,0.084339234647356
"11","BT0172","OSN","4.04000000000087","104.976137456923",0.0384849366519957,0.0304028055794242
"12","BT0172","TC","2.01000000000022","104.976137456923",0.0191472085818077,0.004141957798743
