"","participant","code","total_duration","total","proportion","difference"
"1","BT0172","NP","4.20000000000073","104.976137456923",0.0400090925590037,0
"2","BT0172","NS1","45.3199999999958","104.976137456923",0.431717160660373,0
"3","BT0172","NS2","13.1161374569265","104.976137456923",0.124943989888261,0
"4","BT0172","ON","36.2899999999988","104.976137456923",0.345697611658559,0
"5","BT0172","OSN","4.04000000000087","104.976137456923",0.0384849366519957,0
"6","BT0172","TC","2.01000000000022","104.976137456923",0.0191472085818077,0
"7","BT0172","NP","5.20000000000073","131.736137456925",0.0394728439772347,0.000536248581768997
"8","BT0172","NS1","53.6199999999947","131.736137456925",0.407025748857465,0.024691411802908
"9","BT0172","NS2","15.6061374569267","131.736137456925",0.118465120947012,0.00647886894124899
"10","BT0172","ON","48.9300000000014","131.736137456925",0.371424279962669,0.02572666830411
"11","BT0172","OSN","5.21000000000095","131.736137456925",0.0395487532925772,0.0010638166405815
"12","BT0172","TC","3.17000000000021","131.736137456925",0.0240632529630433,0.0049160443812356
