"","participant","code","total_duration","total","proportion","difference"
"1","BT0188","NP","117.090000000011","350.629999999994",0.333941761971346,0
"2","BT0188","NS1","130.869999999987","350.629999999994",0.373242449305504,0
"3","BT0188","NS2","30.5699999999988","350.629999999994",0.087185922482387,0
"4","BT0188","ON","58.1599999999974","350.629999999994",0.165872857428053,0
"5","BT0188","OS","1.66000000000031","350.629999999994",0.00473433533924747,0
"6","BT0188","OSN","0.819999999999709","350.629999999994",0.00233864757721736,0
"7","BT0188","TC","11.46","350.629999999994",0.0326840258962446,0
"8","BT0188","NP","94.2899999999984","295.489999999985",0.31909709296424,0.014844669007106
"9","BT0188","NS1","116.199999999988","295.489999999985",0.393245118278092,0.020002668972588
"10","BT0188","NS2","29.7699999999995","295.489999999985",0.100747910250773,0.013561987768386
"11","BT0188","ON","44.7399999999946","295.489999999985",0.151409523164902,0.014463334263151
"12","BT0188","OS","1.66000000000031","295.489999999985",0.0056177874039744,0.00088345206472693
"13","BT0188","TC","8.83000000000447","295.489999999985",0.029882567938018,0.0028014579582266
