"","participant","code","total_duration","total","proportion","difference"
"1","BT0188","NP","45.299999999999","144.899999999997",0.312629399585922,0
"2","BT0188","NS1","68.0599999999986","144.899999999997",0.469703243616288,0
"3","BT0188","NS2","6.37999999999829","144.899999999997",0.0440303657694854,0
"4","BT0188","ON","20.2999999999965","144.899999999997",0.140096618357467,0
"5","BT0188","TC","4.86000000000422","144.899999999997",0.0335403726708373,0
"6","BT0188","NP","83.6199999999906","226.14999999998",0.369754587663047,0.057125188077125
"7","BT0188","NS1","80.8699999999903","226.14999999998",0.357594516913542,0.112108726702746
"8","BT0188","NS2","24.7700000000004","226.14999999998",0.109529073623713,0.0654987078542276
"9","BT0188","ON","29.7799999999938","226.14999999998",0.131682511607325,0.00841410675014201
"10","BT0188","OS","0.799999999999727","226.14999999998",0.00353747512712712,0
"11","BT0188","TC","6.31000000000495","226.14999999998",0.0279018350652466,0.0056385376055907
