"","participant","code","total_duration","total","proportion","difference"
"1","BT0188","NP","83.6199999999906","226.14999999998",0.369754587663047,0
"2","BT0188","NS1","80.8699999999903","226.14999999998",0.357594516913542,0
"3","BT0188","NS2","24.7700000000004","226.14999999998",0.109529073623713,0
"4","BT0188","ON","29.7799999999938","226.14999999998",0.131682511607325,0
"5","BT0188","OS","0.799999999999727","226.14999999998",0.00353747512712712,0
"6","BT0188","TC","6.31000000000495","226.14999999998",0.0279018350652466,0
"7","BT0188","NP","94.2899999999984","295.489999999985",0.31909709296424,0.050657494698807
"8","BT0188","NS1","116.199999999988","295.489999999985",0.393245118278092,0.03565060136455
"9","BT0188","NS2","29.7699999999995","295.489999999985",0.100747910250773,0.00878116337294001
"10","BT0188","ON","44.7399999999946","295.489999999985",0.151409523164902,0.019727011557577
"11","BT0188","OS","1.66000000000031","295.489999999985",0.0056177874039744,0.00208031227684728
"12","BT0188","TC","8.83000000000447","295.489999999985",0.029882567938018,0.0019807328727714
