ON	1845.84	1856.12	10.279999999999973
NS	1979.23	1982.49	3.259999999999991
ON	2901.65	2916.46	14.809999999999945
NS	3017.35	3019.02	1.6700000000000728
NS	8516.36	8517.39	1.0299999999988358
NS	9752.68	9754.98	2.2999999999992724
NP	10071.91	10072.54	0.6300000000010186
NS	19503.34	19515.5	12.159999999999854
NS	19914.54	19916.55	2.0099999999983993
NS	21225.63	21237.04	11.409999999999854
NP	22604.95	22690.22	85.27000000000044
NS	24632.51	24635.65	3.140000000003056
NS	26394.07	26401.54	7.470000000001164
NP	27817.03	27820.69	3.6599999999998545
NP	28100.47	28103.86	3.389999999999418
ON	31467	31471.05	4.049999999999272
NS	35358.47	35359.58	1.110000000000582
NP	45392.02	45392.62	0.6000000000058208
