"code","total_duration","total","proportion"
"NP",35509.24,35557.34,0.99864725539087
"NS1",15.119999999999,35557.34,0.000425228658836656
"NS2",7.63000000000102,35557.34,0.000214582980616689
"ON",20.3600000000006,35557.34,0.000572596262825076
"OS",0.799999999995634,35557.34,2.2498870837797e-05
"TC",4.19000000001142,35557.34,0.000117837836013926
