"","participant","code","total_duration","total","proportion","difference"
"1","BT0189","NP","13.4100000000059","341.913007912805",0.039220502553754,0
"2","BT0189","NS","138.366503956403","341.913007912805",0.404683357328391,0
"3","BT0189","ON","146.346503956405","341.913007912805",0.428022627304447,0
"4","BT0189","OS","7.19999999999652","341.913007912805",0.0210579879483049,0
"5","BT0189","OSN","22.8399999999983","341.913007912805",0.0668006173249279,0
"6","BT0189","TC","13.7499999999966","341.913007912805",0.0402149075401751,0
"7","BT0189","NP","23.5500000000101","449.063007912826",0.0524425294113331,0.0132220268575791
"8","BT0189","NS","173.366503956408","449.063007912826",0.386062759349046,0.018620597979345
"9","BT0189","ON","202.076503956409","449.063007912826",0.449995881191881,0.021973253887434
"10","BT0189","OS","7.19999999999652","449.063007912826",0.0160333847881637,0.0050246031601412
"11","BT0189","OSN","22.8399999999983","449.063007912826",0.0508614595224734,0.0159391578024545
"12","BT0189","TC","20.0300000000041","449.063007912826",0.0446039857371026,0.0043890781969275
