NP	4272.65	4274.05	1.4000000000005457
NP	4892.23	4893.31	1.0800000000008367
NP	5159.77	5160.64	0.8699999999998909
NS1	5952.08	5952.88	0.8000000000001819
NS1	6460.98	6461.79	0.8100000000004002
NP	7479.87	7481.04	1.1700000000000728
NS1	7482.47	7483.28	0.8099999999994907
NP	7527.1	7528.27	1.1700000000000728
NP	7866.91	7868.87	1.9600000000000364
NS1	8310.82	8313.88	3.0599999999994907
NS1	8649.94	8650.74	0.7999999999992724
ON	10854.32	10859.11	4.790000000000873
NS1	10965.46	10966.29	0.8300000000017462
NP	11168.99	11170.37	1.3800000000010186
NS1	11344.24	11346.47	2.2299999999995634
NP	12494.72	12495.52	0.8000000000010914
NP	13597.61	13598.41	0.7999999999992724
ON	14592.29	14593.27	0.9799999999995634
NP	14613.01	14613.88	0.8699999999989814
NP	14838.03	14839.05	1.0199999999986176
NP	15694.27	15695.52	1.25
TC	15802.14	15802.94	0.8000000000010914
NP	16166.01	16167.44	1.430000000000291
NP	16197.58	16198.64	1.0599999999994907
NP	16260.29	16261.3	1.0099999999983993
NP	17508.62	17511.84	3.220000000001164
NP	17829.51	17830.67	1.1599999999998545
NP	17923.36	17925.8	2.4399999999986903
NS1	17973.42	17974.25	0.8300000000017462
NP	18388.28	18390.56	2.280000000002474
NP	22763.08	22765.61	2.529999999998836
NP	23438.01	23438.81	0.8000000000029104
NS2	23481.54	23485.02	3.4799999999995634
TC	27607.66	27608.9	1.2400000000016007
NS1	28400.61	28401.42	0.8099999999976717
NP	28496.46	28499.23	2.7700000000004366
ON	28663.56	28665.37	1.8099999999976717
NP	28801.59	28803.74	2.150000000001455
ON	29532.04	29533.72	1.680000000000291
ON	30113.91	30114.94	1.0299999999988358
NP	31855.05	31855.85	0.7999999999992724
ON	31995.55	31996.35	0.7999999999992724
NS1	33411.22	33412.03	0.8099999999976717
NS1	34074.4	34075.21	0.8099999999976717
NS1	34629.88	34631.6	1.7200000000011642
ON	34731.27	34733.86	2.5900000000037835
ON	34850.51	34853.1	2.5899999999965075
NP	35333.58	35334.73	1.1500000000014552
NP 	35463.01	35463.91	0.9000000000014552
NS1	35620.89	35621.69	0.8000000000029104
NS2	36221	36222.73	1.7300000000032014
ON	36233.46	36235.4	1.9400000000023283
NP	36633.61	36634.41	0.8000000000029104
TC	37472.17	37472.97	0.8000000000029104
ON	38014.34	38015.61	1.2700000000040745
NP	38211.46	38212.31	0.8499999999985448
NP	38332.84	38333.68	0.8400000000037835
NS2	39009.87	39010.76	0.8899999999994179
NS2	39212.73	39214.26	1.5299999999988358
ON	39471.79	39472.67	0.8799999999973807
OS	39792.01	39792.81	0.7999999999956344
NP	39886.4	39887.53	1.1299999999973807
NP	41112.25	41116.52	4.269999999996799
NP	41149.34	41150.21	0.8700000000026193
TC	41206.27	41207.62	1.3500000000058208
