"","participant","code","total_duration","total","proportion","difference"
"1","BT0122","NP","35552.98","35665.25",0.996852117957956,0
"2","BT0122","NS1","37.0800000000004","35665.25",0.00103966746342729,0
"3","BT0122","NS2","19.7900000000027","35665.25",0.000554881852783947,0
"4","BT0122","ON","48.7000000000035","35665.25",0.00136547479689623,0
"5","BT0122","OS","1.69999999999618","35665.25",4.76654446554049e-05,0
"6","BT0122","TC","5.00000000001273","35665.25",0.000140192484281275,0
"7","BT0122","NP","71178.64","71497.9200000001",0.995534415546633,0.00131770241132301
"8","BT0122","NS1","114.18000000001","71497.9200000001",0.00159696953421876,0.00055730207079147
"9","BT0122","NS2","57.7000000000062","71497.9200000001",0.000807016483836259,0.000252134631052312
"10","BT0122","ON","127.740000000007","71497.9200000001",0.00178662540113065,0.00042115060423442
"11","BT0122","OS","5.61999999999171","71497.9200000001",7.86036852539444e-05,3.09382405985395e-05
"12","BT0122","OSN","2.44000000000233","71497.9200000001",3.41268669074894e-05,0
"13","BT0122","TC","11.6000000000276","71497.9200000001",0.000162242482019444,2.2049997738169e-05
